,index,font_name,char,char_id,style,style_id,x_min,x_max,y_min,y_max,contour_max,order_max,split
0,0,Gafata-Regular.ttf,A,0,SANS_SERIF,0,34,562,0,648,2,9,train
1,1,Gafata-Regular.ttf,B,1,SANS_SERIF,0,91,491,-1,648,3,19,train
2,2,Gafata-Regular.ttf,C,2,SANS_SERIF,0,62,514,-9,660,1,32,train
3,3,Gafata-Regular.ttf,D,3,SANS_SERIF,0,91,559,0,648,2,19,train
4,4,Gafata-Regular.ttf,E,4,SANS_SERIF,0,91,459,0,648,1,13,train
5,5,Gafata-Regular.ttf,F,5,SANS_SERIF,0,91,416,0,648,1,11,train
6,6,Gafata-Regular.ttf,G,6,SANS_SERIF,0,62,537,-9,660,1,32,train
7,7,Gafata-Regular.ttf,H,7,SANS_SERIF,0,91,533,0,648,1,13,train
8,8,Gafata-Regular.ttf,I,8,SANS_SERIF,0,91,157,0,648,1,5,train
9,9,Gafata-Regular.ttf,J,9,SANS_SERIF,0,-29,173,-136,648,1,10,train
10,10,Gafata-Regular.ttf,K,10,SANS_SERIF,0,91,553,0,648,1,16,train
11,11,Gafata-Regular.ttf,L,11,SANS_SERIF,0,91,444,0,648,1,9,train
12,12,Gafata-Regular.ttf,M,12,SANS_SERIF,0,81,680,0,648,1,15,train
13,13,Gafata-Regular.ttf,N,13,SANS_SERIF,0,91,568,0,648,1,13,train
14,14,Gafata-Regular.ttf,O,14,SANS_SERIF,0,62,599,-9,661,2,19,train
15,15,Gafata-Regular.ttf,P,15,SANS_SERIF,0,91,509,0,648,2,18,train
16,16,Gafata-Regular.ttf,Q,16,SANS_SERIF,0,62,598,-197,661,2,33,train
17,17,Gafata-Regular.ttf,R,17,SANS_SERIF,0,91,537,-17,648,2,19,train
18,18,Gafata-Regular.ttf,S,18,SANS_SERIF,0,48,470,-9,660,1,39,train
19,19,Gafata-Regular.ttf,T,19,SANS_SERIF,0,24,453,0,648,1,9,train
