,precision,recall,f1-score,support
A,0.995085995085995,0.9975369458128078,0.9963099630996309,1218.0
B,1.0,0.9885057471264368,0.9942196531791908,1218.0
C,0.9750201450443191,0.993431855500821,0.9841398942659618,1218.0
D,0.9967213114754099,0.9983579638752053,0.9975389663658737,1218.0
E,0.9910277324632952,0.9975369458128078,0.9942716857610474,1218.0
F,0.9975409836065574,0.9991789819376026,0.9983593109105825,1218.0
G,0.9941956882255389,0.9844006568144499,0.9892739273927392,1218.0
H,0.9901071723000825,0.9860426929392446,0.9880707527766351,1218.0
I,0.990139687756779,0.9893267651888341,0.9897330595482546,1218.0
J,0.9983347210657785,0.9844006568144499,0.9913187267465894,1218.0
K,0.988562091503268,0.993431855500821,0.9909909909909911,1218.0
L,0.9959016393442623,0.9975369458128078,0.9967186218211649,1218.0
M,0.9991645781119465,0.9819376026272578,0.9904761904761904,1218.0
N,0.9909315746084089,0.986863711001642,0.9888934594816948,1218.0
O,0.9933554817275747,0.9819376026272578,0.9876135425268373,1218.0
P,0.9975409836065574,0.9991789819376026,0.9983593109105825,1218.0
Q,0.999176276771005,0.9958949096880131,0.997532894736842,1218.0
R,0.9926590538336052,0.9991789819376026,0.9959083469721767,1218.0
S,0.9830097087378641,0.9975369458128078,0.9902200488997556,1218.0
T,0.9934747145187602,1.0,0.9967266775777415,1218.0
U,0.9950657894736842,0.993431855500821,0.9942481511914545,1218.0
V,0.9967023907666942,0.9926108374384236,0.9946524064171124,1218.0
W,0.9950940310711366,0.9991789819376026,0.9971323228185169,1218.0
X,0.982200647249191,0.9967159277504105,0.9894050529747351,1218.0
Y,0.9975267930750206,0.993431855500821,0.995475113122172,1218.0
Z,0.9926108374384236,0.9926108374384236,0.9926108374384236,1218.0
accuracy,0.9930845017051914,0.9930845017051914,0.9930845017051914,0.9930845017051914
macro avg,0.9931211549561983,0.9930845017051914,0.99308461186165,31668.0
weighted avg,0.9931211549561983,0.9930845017051914,0.9930846118616499,31668.0
